Month,Incident Number,Date of Incident,Day of Week,Number of Victims under 18,Number of Victims over 18,Number of Offenders under 18,Number of Offenders over 18,Race/Ethnicity of Offenders,Offense(s),Offense Location,Bias,Zip Code,APD Sector,Council District
Jan,2017-241137,01/01/2017 12:00:00 AM,Sun,0,1,0,1,White/Not Hispanic,Aggravated Assault,Park/Playground,Anti-Black or African American,78704,Henry,9
Feb,2017-580344,02/01/2017 12:00:00 AM,Wed,0,1,0,1,Black or African American/Not Hispanic,Aggravated Assault,Highway/Road/Alley/Street/Sidewalk,Anti-White,78702,Charlie,1
Mar,2017-800291,03/21/2017 12:00:00 AM,Tue,0,0,0,0,Unknown,Destruction,Highway/Road/Alley/Street/Sidewalk,Anti-Jewish,78757,Ida,7
Apr,2017-1021534,04/12/2017 12:00:00 AM,Wed,0,0,0,0,White/Unknown,Simple Assault,Air/Bus/Train Terminal,Anti-Jewish,78723,Ida,1
May,2017-1351550,05/15/2017 12:00:00 AM,Mon,1,0,1,2,White/Not Hispanic,Simple Assault,Residence/Home,Anti-Gay (Male),78750,Adam,6
Jun,2017-1550219,06/04/2017 12:00:00 AM,Sun,0,1,0,2,White/Unknown,Simple Assault,Highway/Road/Alley/Street/Sidewalk,Anti-Gay (Male),78701,George,9
Jun,2017-1660914,06/15/2017 12:00:00 AM,Thu,0,1,0,1,White/Not Hispanic,Intimidation,Bank/Savings and Loan,Anti-Hispanic or Latino,78701,George,9
Jun,2017-1681488,06/17/2017 12:00:00 AM,Sat,0,1,0,1,White/Not Hispanic,Simple Assault,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,78712,Baker,9
Jul,2017-1820275,07/01/2017 12:00:00 AM,Sat,0,1,0,1,Group of Multiple Races,Simple Assault,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,78701,George,9
Jul,2017-1862526,07/05/2017 12:00:00 AM,Wed,0,1,0,1,Group of Multiple Races,Intimidation,Residence/Home,Anti-Black or African American,78723,Ida,4
Jul,2017-2011198,07/20/2017 12:00:00 AM,Thu,0,1,0,1,Group of Multiple Races,Robbery,Residence/Home,Anti-Transgender,78726,Adam,10
Jul,2017-2020124,07/21/2017 12:00:00 AM,Fri,0,1,0,1,White/Unknown,Destruction,Residence/Home,Anti-Gay (Male),78757,Baker,7
Oct,2017-2880227,10/15/2017 12:00:00 AM,Sun,0,1,0,1,White/Hispanic or Latino,Simple Assault,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,78701,George,9
Oct,2017-2971392,10/24/2017 12:00:00 AM,Tue,0,1,2,0,White/Hispanic or Latino,Intimidation,Residence/Home,Anti-Gay (Male),78741,Henry,3
Nov,2017-3141125,11/10/2017 12:00:00 AM,Fri,0,1,0,1,White/Not Hispanic,Simple Assault,Restaurant,Anti-Islamic (Muslim),78753,Ida,4
Nov,2017-3200108,11/16/2017 12:00:00 AM,Thu,0,1,0,1,White/Unknown,Simple Assault,Other/Unknown,Anti-Islamic (Muslim),78705,Baker,9
Nov,2017-5043049,11/26/2017 12:00:00 AM,Sun,0,1,0,0,Unknown,Intimidation,Parking/Drop Lot,Anti-Hispanic or Latino,78724,Charlie,1
Jan,2018-200595,01/19/2018 12:00:00 AM,Fri,0,0,0,0,Unknown,Vandalism,Parking Lot/Garage,Anti-Black,78750,Adam,6
Jan,2018-251458,01/25/2018 12:00:00 AM,Thu,0,2,0,1,White/NotHispanic,Burglary/Assault,Residence/Home,Anti-Lesbian,78745,Frank,3
Feb,2018-400447,02/08/2018 12:00:00 AM,Thu,0,1,0,1,White/NotHispanic,Assault,Parking Lot/Garage,Anti-Gay,78704,David,3
Feb,2018-530804,02/22/2018 12:00:00 AM,Thu,0,1,0,1,White/NotHispanic,Vandalism,Highway/Road/Street,Anti-Black,78723,Ida,4
Mar,2018-611809,03/02/2018 12:00:00 AM,Fri,0,1,0,4,Black/Unknown,Assault,Highway/Road/Street,Anti-Hispanic,78744,Frank,2
Mar,2018-651279,03/06/2018 12:00:00 AM,Tue,0,0,1,1,White/NotHispanic,Vandalism,Convenience Store,Anti-Arab,78758,Adam,7
